"","finalStackSizeAnte","lowestStackSizeAnte","finalStackSizePair","lowestStackSizePair","finalStackSizeSix","lowestStackSizeSix"
"196",12018,11990,9888,9736,8883,8832
"197",12748,12299,5793,5599,9253,8002
"198",13348,12998,6538,6442,13208,11761
"199",12108,11549,13443,12784,11623,10449
"200",12123,11084,6743,6711,7553,7459
"201",13613,12623,11678,11488,14878,12406
"202",13923,13890,5063,4676,13418,13162
"203",11653,11440,11398,11206,10533,10443
"204",12383,12364,9148,9146,17558,13740
"205",11663,11497,7073,7007,7783,6521
"206",11748,11734,11173,11140,16273,13873
"207",13258,12799,11708,11470,14528,13560
"208",14183,14114,8793,8684,14598,13702
"209",13013,12866,12588,11958,16688,13985
"210",12838,12254,12068,10766,12523,12109
"211",10918,10856,8978,8274,15708,14512
"212",13358,12712,11528,11390,14528,13616
"213",15498,14439,6228,6082,9548,9016
"214",11878,11398,11478,11284,12278,10053
"215",13238,12900,9753,9685,14923,13544
"216",10198,9468,12118,11702,19348,14809
"217",14058,13511,12348,12049,16683,15000
"218",12068,11708,8223,8223,15303,14189
"219",12788,12665,8068,8022,11823,11289
"220",13338,12981,7453,7140,17408,12996
"221",10803,10760,10048,9930,6068,5090
"222",11168,10836,13508,13085,14443,13465
"223",12078,11487,10178,9632,9963,9827
"224",9323,9271,7643,7453,14238,12247
"225",8023,7935,5068,4995,7038,5403
"226",10788,10663,10568,9836,13468,12733
"227",8708,8602,7663,7538,11493,10387
"228",15018,13809,9503,9384,15838,12949
"229",12758,12376,10683,10435,11268,11236
"230",12198,12198,11508,11208,13343,11530
"231",13133,12271,8878,8188,16648,14459
"232",12308,12308,11053,10782,11133,10666
"233",10758,10758,11133,10896,12148,11419
"234",12278,11945,8133,8060,13373,12914
"235",14008,13225,7333,7105,7358,6801
"236",12828,12329,12998,12996,14303,11996
"237",13538,13314,7583,7540,15803,14559
"238",13663,13605,11688,11532,6673,5302
"239",14573,13741,9133,9004,15253,11955
"240",13168,12204,8533,8317,12693,12542
"241",12093,11838,11343,11203,16388,13587
"242",13328,12701,10653,10422,11738,8498
"243",11073,10731,11888,11888,16683,13922
"244",12738,12254,6698,6190,10658,10416
"245",13668,13449,8973,8586,16728,13208
"246",13098,12281,5908,5804,9118,8797
"247",9358,9272,10748,10299,19313,14469
"248",14383,13205,10998,10296,11163,10958
"249",14068,13913,13348,13049,12733,12605
"250",11648,11413,6598,6555,8178,7705
"251",13268,12977,9388,9150,11233,10059
"252",10948,10847,6708,6597,9288,9252
"253",13468,12984,10743,10734,6048,5664
"254",15208,14621,9973,9915,9483,8843
"255",13373,12731,10883,10786,13753,13219
"256",10823,10717,9908,9183,15683,13601
"257",11463,11445,7258,6977,13833,13747
"258",11673,11588,13603,13128,13643,10564
"259",11653,11540,10333,10265,14253,13325
"260",12308,11857,12868,12845,11588,11543
"261",14103,13648,8153,7708,7453,5406
"262",15138,14432,11853,11188,18693,15000
"263",11328,11328,12803,11881,16873,14154
"264",13013,12636,10383,10128,17623,14014
"265",8823,8735,8458,8417,5563,5013
"266",11163,11051,6113,5833,13228,13202
"267",14313,13279,8513,8459,12288,12109
"268",11593,11419,5088,3874,8538,8105
"269",11298,11091,11148,11084,12953,12267
"270",14728,13661,10773,10414,2633,2281
"271",12463,12416,6613,6400,14263,12364
"272",13638,13077,9633,9309,10788,10234
"273",11868,11868,10958,10664,13838,13791
"274",13943,12981,12058,11993,11553,10265
"275",13588,12289,10433,10389,12613,12048
"276",12278,11998,13423,12935,7433,7080
"277",12463,12337,8318,8248,16383,13153
"278",12903,12881,10518,9994,7748,7225
"279",12453,12110,12118,11933,8858,7895
"280",12873,12554,10473,10243,13678,12801
"281",10633,10633,7033,6734,15338,13697
"282",12608,11774,10528,10344,8873,8112
"283",13508,13380,10933,10841,11828,11401
"284",14308,13649,4503,4391,13698,12727
"285",12788,12134,9933,9925,13018,11437
"286",10288,10069,9578,9230,19178,14857
"287",12578,12371,13083,12820,10218,10079
"288",11348,11305,9988,9582,13058,12147
"289",14823,14172,12388,11391,16488,14891
"290",13423,13405,7773,7576,17578,13891
"291",11693,11693,11073,11061,16193,14437
"292",11863,11616,9958,9878,6833,5620
"293",11278,11114,12178,11981,15833,13961
"294",13613,13572,6093,5680,13203,11346
"295",12678,12678,10698,10267,10518,10232
"296",12648,12440,9998,9057,11328,9620
"297",10933,10833,10703,10310,16203,14357
"298",13593,13108,13078,12410,14683,13095
"299",12438,12099,11858,11812,11848,11579
"300",14983,14571,6398,6257,10388,10169
"301",13128,12924,10048,9596,13693,13636
"302",13303,13149,6048,5916,11483,11134
"303",11498,11462,8243,8172,17473,13062
"304",10613,10186,9723,9596,12953,10511
"305",13938,13586,7863,7299,13568,13254
"306",12363,11497,10228,10140,9763,8621
"307",11878,11878,8408,8117,9818,9204
"308",13403,12602,7678,7205,14998,14279
"309",14908,13751,9763,8975,14718,13906
"310",13038,12939,9283,8562,13128,12324
"311",13103,13015,13143,12710,11448,8896
"312",11353,10969,10933,9640,14733,14532
"313",11868,11621,8538,7917,10428,10173
"314",11523,11471,7718,7696,16178,14731
"315",14033,13643,10978,10885,2743,2464
"316",12413,12300,6958,6756,13063,12918
"317",12433,12340,10428,10085,13223,12517
"318",13898,13293,9578,9303,11468,11181
"319",13608,12611,8808,8427,13398,10124
"320",13203,13108,9568,9540,10828,9791
"321",13783,13384,6508,6088,8423,6464
"322",16293,14890,10408,10365,13963,12429
"323",12988,12681,10978,10656,9543,8158
"324",11248,10859,7648,7463,16758,14970
"325",12468,12115,9283,9035,12843,11890
"326",12123,11853,10863,10776,14268,14154
"327",14213,13682,10998,10530,17053,14166
"328",11353,11141,5938,5653,10183,9998
"329",15588,14122,12068,11905,9318,8665
"330",12413,12301,10528,9958,9448,8609
"331",12758,11987,10273,9797,12783,12256
"332",13268,11957,8223,8000,14553,14237
"333",12678,12591,11878,11342,11913,10487
"334",13648,13494,9708,9623,8208,6937
"335",13073,12940,13078,12292,16948,13692
"336",13633,13541,9088,8628,10883,10688
"337",14198,13888,8703,8570,18558,14274
"338",14198,13372,9893,9851,12033,11489
"339",11423,10887,7343,7257,10913,10868
"340",12033,11790,10868,10775,12313,11301
"341",9778,9699,4583,4536,12283,11935
"342",13908,12609,9668,9444,13878,12148
"343",11963,11663,10823,10611,15968,13947
"344",13988,13598,11268,11008,6863,6734
"345",12798,12751,11133,11022,13093,13019
"346",12388,12263,11863,11125,14958,13856
"347",12543,12137,11338,10924,10498,10105
"348",12188,12121,11033,10880,13028,12074
"349",8463,8271,9533,9511,15758,14153
"350",11283,11124,12063,11918,12463,12224
"351",12678,12487,10348,9797,3528,2646
"352",14193,13226,9213,8864,11368,10093
"353",14208,13429,9833,9684,16678,14732
"354",13983,13983,8748,8746,15418,13657
"355",11623,11575,10043,10043,13113,11835
"356",14233,13349,12363,12318,8898,7834
"357",15668,14394,9128,9116,8423,7656
"358",13803,13593,12268,11730,13653,12586
"359",11743,11209,12473,12164,18598,15000
"360",14523,13973,5658,5652,12858,10865
"361",10043,9868,9893,9891,9598,9383
"362",11368,11111,10033,9970,13693,13195
"363",13088,12943,8108,7979,9658,9509
"364",10703,10612,9868,9660,20483,14732
"365",13753,13684,7088,6886,18023,14631
"366",14028,12227,10263,9806,11763,11687
"367",10308,10142,10313,10001,5013,4900
"368",12473,11475,8898,8866,14733,14357
"369",13613,13360,12143,11701,12103,11387
"370",12598,12231,8388,8370,13638,11374
"371",13763,12750,8433,8433,15368,14718
"372",11338,10863,9113,9030,10353,9616
"373",12348,11868,9033,8911,15868,13659
"374",13983,13032,9513,9450,7153,6475
"375",10513,10379,7448,7199,12653,12053
"376",10728,10533,10843,9673,12608,11221
"377",11618,11428,9733,9191,14708,13506
"378",12223,12133,11888,11860,16043,15000
"379",12773,12458,10503,9613,12463,11442
"380",13098,13097,8773,8422,11908,11342
"381",11303,10994,12088,11699,11523,11124
"382",13203,12275,10013,9989,9308,8822
"383",12653,12056,11123,10569,11303,11231
"384",10653,10471,12798,12136,10173,9810
"385",13288,12928,8418,8371,8178,7726
"386",11733,11574,14128,13155,13768,12439
"387",14193,14053,10868,10610,3933,3831
"388",14703,14022,4773,4192,15053,14562
"389",13668,13464,10418,10218,8078,7535
"390",13123,12642,7913,7515,11613,10218
"391",13158,12452,7298,7239,13513,12655
"392",14068,14016,10133,9640,12823,11485
"393",12683,12553,8958,8799,15753,14499
"394",13628,13118,10338,10289,13598,13264
"395",14788,12898,12453,11287,9918,9687
"396",13233,12979,15218,13802,12273,11089
"397",13143,12574,9623,9124,14558,13950
"398",12128,11801,12243,11667,12063,11671
"399",13158,13109,9293,9221,16568,14818
"400",13358,13212,11248,11092,10398,10323
"401",14573,14054,11378,11059,11153,11152
"402",13873,13692,10398,10037,6528,6322
"403",14223,13230,12808,12053,9283,9078
"404",12603,12170,8623,8300,15743,14313
"405",15788,14667,9973,9862,15083,13732
"406",11973,11777,6258,5560,11958,9359
"407",12543,11839,7143,6787,14373,12931
"408",13273,13131,12568,12468,12623,12517
"409",11303,11179,11623,11381,17108,14320
"410",12903,12862,5613,5467,9788,8161
"411",10163,9756,8743,8590,15853,14062
"412",13003,12751,7563,7366,13838,13660
"413",13538,13538,8848,8630,12118,11110
"414",13293,13283,9798,8753,3268,2259
"415",11318,11108,9068,9056,16198,14897
"416",10693,10599,8533,8319,14603,14310
"417",13038,12950,7023,6779,4683,4175
"418",12823,12664,11683,11501,15553,12661
"419",14103,13069,10088,9560,12248,10229
"420",11578,11464,10043,9814,12463,11460
"421",13803,13433,12398,11603,3278,2325
"422",13398,12239,10738,10257,10918,9571
"423",11813,11813,10718,10603,10088,9963
"424",11788,11605,15173,14241,13578,11608
"425",14573,13707,7378,7313,15673,14380
"426",14123,13539,8688,8475,16078,13978
"427",11418,11320,12988,11559,7073,6765
"428",14723,14283,6553,6023,17193,12853
"429",13678,13487,11553,11519,9618,9008
"430",13358,12897,9603,9521,12103,10192
"431",13583,13470,11148,10360,10463,9903
"432",12758,12473,9658,9389,14553,12869
"433",12758,12670,7353,6789,14418,12291
"434",12898,12890,11388,11161,5588,5322
"435",13798,13702,8613,8189,14813,14658
"436",13498,13014,8278,8226,9543,9139
"437",11573,11520,8843,8502,12993,11568
"438",12658,12525,11673,11231,10293,9866
"439",10563,10450,8638,8227,13738,13066
"440",13928,13770,10038,10036,13888,12308
"441",11628,10765,6853,6396,17373,14829
"442",11758,11645,10883,10687,17298,13873
"443",10938,10936,10598,10070,16778,14935
"444",13673,12718,12313,12059,12868,12690
"445",11198,11139,10148,10035,14683,14033
"446",14883,13589,9773,9731,11713,11295
"447",13203,13162,10823,9776,16323,13461
"448",11063,10721,7673,7673,6748,4913
"449",10128,10101,12268,11597,12228,11281
"450",8683,8503,11123,10997,13203,13083
"451",11673,11657,11358,11000,13818,11980
"452",13713,12791,4413,4365,9538,8695
"453",10483,10363,10743,10267,7963,7611
"454",14838,14503,7768,6667,9718,9415
"455",12363,12256,9593,9560,4698,4352
"456",12043,11655,9203,9042,13603,12422
"457",9738,8963,9828,8733,12463,12001
"458",12348,11736,11508,11482,8023,8023
"459",13968,12885,10373,9580,12488,11274
"460",11088,10853,10458,10458,16828,14949
"461",10608,10316,9143,8924,12443,12307
"462",15158,14798,13578,13323,12858,11496
"463",11548,11510,11123,10846,16948,13911
"464",11628,11427,9348,8980,12263,11580
"465",11963,11693,9538,9538,13233,12883
"466",13028,12598,7318,7267,13653,12086
"467",13438,13214,8038,7984,19363,14601
"468",12058,11838,10173,9383,14498,13649
"469",13108,12448,9638,8968,12903,12697
"470",11518,10665,8238,7936,18233,14977
"471",12363,12151,7793,7725,6168,5683
"472",11958,11885,6853,6793,12628,11650
"473",11818,11622,7588,7328,7353,6287
"474",12893,12778,11303,10754,13678,13488
"475",13493,13160,8288,8288,13278,12836
"476",12383,12381,11218,10628,5323,4737
"477",8408,8192,4713,4252,16163,13363
"478",10803,10386,12623,12351,12278,11453
"479",12773,12665,8343,8180,16123,13943
"480",13068,12505,7593,7563,11283,10286
"481",12248,12167,11648,11584,7763,7446
"482",11018,10920,10673,10599,9448,9278
"483",14378,13919,10968,10828,11248,10502
"484",13018,12361,10388,10080,12668,11125
"485",13843,12870,14983,13454,16223,14248
"486",12283,12042,8423,8033,8748,8467
"487",11403,10764,6703,6625,9328,9135
"488",12403,12224,6738,6542,15108,11620
"489",12633,12623,9228,8959,7513,7345
"490",13288,12763,8723,8333,1963,1963
"491",13653,13269,11078,10911,12568,11734
"492",11103,11039,8218,8177,13223,11971
"493",11228,10711,13243,13062,12493,11516
"494",13188,13133,7598,7357,10148,9813
"495",12573,12232,9803,9692,11558,9999
"496",12113,12113,9533,9428,14918,12471
"497",13518,13481,13243,12937,7768,7496
"498",13123,12908,10188,10055,7073,6885
"499",12743,12389,10908,10595,9863,9264
"500",12963,12421,9003,8504,12048,11803
"501",10638,10630,4818,4752,12148,11466
"502",11503,11285,12258,12209,9553,9377
"503",13008,12785,6968,6335,16683,13925
"504",12678,12640,5088,5042,11563,10775
"505",12293,11984,8898,8739,14093,13384
"506",12008,11697,6823,6665,5283,4303
"507",12133,11474,11333,11320,14743,12470
"508",10913,10415,4213,4191,16973,14086
"509",14393,13457,8208,8055,12168,11805
"510",12648,12321,10528,10506,15713,14970
"511",12348,12340,5793,5710,9503,9325
"512",11523,11072,7798,7717,14818,13582
"513",14233,12904,8218,7937,17193,14348
"514",13258,12622,13133,12348,13238,10815
"515",14308,12427,10168,10105,16788,15000
"516",8923,8906,9973,9971,14428,13334
"517",13808,13648,9568,9453,13658,12868
"518",16158,14800,9568,9295,10523,9588
"519",12463,12423,12263,11535,14068,13314
"520",12713,12324,10018,9966,12333,11266
"521",12948,12791,13373,13226,10923,10775
"522",12128,12094,7968,7968,11633,9589
"523",12168,11755,11683,11430,12063,11404
"524",10203,9560,11888,11488,9578,9431
"525",11913,11449,9423,9314,16623,14898
"526",11343,10729,9668,9524,12073,10335
"527",13898,13444,11193,11193,11453,11359
"528",12558,12441,11893,11356,13098,10967
"529",12683,11393,10288,10288,16853,14770
"530",12308,12188,11628,11220,13118,12916
"531",15023,14597,13463,12625,14208,12960
"532",14573,14570,10353,9941,13143,11568
"533",15073,13516,8868,8677,17338,14199
"534",9858,9787,12103,12079,12718,12345
"535",13538,12392,13803,13474,15148,11676
"536",7338,7235,13468,13188,14628,13576
"537",10843,10436,13203,12942,10043,9662
"538",13243,12723,10028,9870,9553,9222
"539",14908,14115,9243,9243,14433,13882
"540",11918,11612,10638,10414,5638,4972
"541",9933,9648,11338,10825,17193,14833
"542",13098,12826,11003,10942,13623,12448
"543",11958,11732,9338,9098,11408,11133
"544",11453,10950,8353,8075,13788,12259
"545",13478,12989,11563,10426,10123,9391
"546",12428,12104,9918,9773,10573,10407
"547",10083,10065,8648,8369,12033,11263
"548",10833,10776,7243,7192,8153,8008
"549",12293,11896,8063,7714,15208,14192
"550",11028,11000,10298,10224,12063,11890
"551",12998,11846,10658,10607,10948,10181
"552",13933,13667,11508,11233,13458,11810
"553",13398,13280,8293,8186,12528,11901
"554",12848,12588,10003,9926,12803,12103
"555",12898,12230,14103,13588,15413,13575
"556",14983,14361,11538,11272,13198,12897
"557",12383,12227,8803,8446,12278,12118
"558",13388,12558,8533,8217,7418,6250
"559",11538,11151,8553,8383,10848,8933
"560",12863,12025,7583,7136,13723,12544
"561",12443,12303,11208,11095,18468,14748
"562",12453,11752,7728,7605,13188,9652
"563",10523,10481,11628,11575,13138,10552
"564",10948,10948,8853,8566,12943,11693
"565",11218,11200,8228,8199,18883,14930
"566",12193,11505,7498,7334,11593,11120
"567",13208,12348,11128,10706,14323,12192
"568",11968,11745,8123,7748,13338,13089
"569",12923,12391,7963,7720,13608,11735
"570",13058,11928,10813,10763,12388,11400
"571",12768,12596,12813,12400,14723,14255
"572",13128,12980,5353,5336,14448,13965
"573",14123,13994,8648,8250,15498,14722
"574",14133,13746,9418,8427,9258,8840
"575",10568,10513,8868,7625,7938,5632
"576",14053,13641,15183,14615,15678,14081
"577",15733,14684,8918,8553,13753,12802
"578",12383,12129,8678,8468,14733,13301
"579",13918,13903,6743,6567,9078,8915
"580",11273,11255,11763,10811,12873,11814
"581",12888,12845,6853,6816,13498,11952
"582",13058,13055,10198,10127,11698,10701
"583",15543,13799,9738,9491,12988,12359
"584",10898,10728,8863,8507,5293,4414
"585",11948,11620,9543,9370,13523,11336
"586",12088,12005,9323,9168,16878,14986
"587",12868,12554,11073,10978,9938,8698
"588",11643,11605,9443,8412,14348,14087
"589",12958,12793,11428,10878,12923,12421
"590",13963,13528,7803,7770,13088,12718
"591",10938,10676,5158,5077,10983,9392
"592",10163,10163,9543,9110,11518,11228
"593",12553,12000,10573,10079,11663,9717
"594",13333,12523,7848,7797,15203,12777
"595",12403,12334,10703,10041,15883,14258
"596",12798,12761,11208,10697,14373,12654
"597",11908,11777,6253,6186,15113,14443
"598",13108,12874,9623,9623,8763,8029
"599",10153,9736,7143,6906,9738,9449
"600",11178,11109,9128,9095,10398,9790
"601",11968,11563,9393,9071,17403,14231
"602",11638,11610,12528,12021,13153,11625
"603",12343,12343,8523,8021,17043,13881
"604",13653,13216,12173,12173,12803,9180
"605",14848,14410,12383,11766,15648,14580
"606",11258,11099,13373,12380,15388,11745
"607",13658,13089,10293,9905,18438,13774
"608",12143,11478,10123,9373,20103,14616
"609",14408,13511,9363,9231,11493,9745
"610",10463,10242,10303,10224,13253,12306
"611",13113,13071,10588,10554,13278,13155
"612",11948,11916,9273,9040,13933,12627
"613",13953,13060,12208,11822,10263,9995
"614",12238,11548,12568,12257,11228,11122
"615",15033,14697,11873,11567,14883,12854
"616",11628,11449,10048,9956,11588,10457
"617",12998,12605,13063,12967,16548,14139
"618",10763,10498,8883,8316,11208,10560
"619",11403,10777,11343,11229,12573,9388
"620",12753,12457,12243,12065,12563,10483
"621",12803,11826,12843,12675,14168,12930
"622",11293,11048,8388,8342,17308,14036
"623",12403,12387,10868,10552,7393,7035
"624",12278,11442,9618,9122,10063,9271
"625",10993,10396,7923,7789,14228,12412
"626",12818,12588,10383,9912,16093,15000
"627",9883,9864,8123,8058,18693,14898
"628",12158,11377,9343,9089,13673,12561
"629",11433,11433,11728,11528,15258,14028
"630",10413,10287,5528,5352,15568,12488
"631",13783,12811,7628,7509,16208,14398
"632",11493,10871,5988,5900,13728,13147
"633",12428,11760,9608,9338,14448,14128
"634",14343,13819,8353,8241,11403,11224
"635",15263,14232,11528,11216,13898,13524
"636",13673,13431,10238,9960,13013,10949
"637",12498,12498,11233,10986,11653,11195
"638",12443,11838,9238,9211,11663,11135
"639",12508,12043,8678,8589,10993,10581
"640",10503,10092,5973,5838,13593,13094
"641",9713,9702,13163,12910,9143,7619
"642",10473,10326,6093,5361,10123,9757
"643",9943,9789,8228,8150,11278,8549
"644",12058,11718,9793,9672,14013,12309
"645",15153,14243,10143,9989,13018,11739
"646",13748,12543,7308,7218,17033,14783
"647",12718,12448,11413,11244,15353,14187
"648",13338,13215,11173,10841,11038,10318
"649",13638,12400,12438,11560,9418,8969
"650",15053,14053,10638,10498,9208,8727
"651",12458,12097,8398,8065,9893,9552
"652",13023,12886,10668,10268,11518,11094
"653",11628,11429,9523,9242,7723,7687
"654",11858,11474,6698,6599,13143,13015
"655",10503,9802,7673,7610,10173,9042
"656",10428,10179,11103,11060,12448,11432
"657",14298,13867,8578,8312,17603,14578
"658",12688,11989,10733,10245,16338,14862
"659",11658,11355,6738,6590,8668,8527
"660",11898,11246,9588,9096,9908,9526
